id,title,address,city,type,beds,baths,rent,sqft,status,photo_folder_id,photo_urls,map_link,parking,lease_start,lat,lng,primary_photo
P026,1 SILVER AVE,1 SILVER AVE,,rentalkinginfo@gmail.com,17,5,RENTED,,rented,1QVTUs88c41PoudjYPtQK2EuJS5bjkmpr,https://drive.google.com/drive/folders/1QVTUs88c41PoudjYPtQK2EuJS5bjkmpr?usp=drive_link,,17,Fall 2027,"39.71316647164147, -75.11282905179587",,
P028,127 STATE ST,127 STATE ST,,carmeninsana@comcast.net,7,2,9000,,available,1Cg0C5qNDMWst3_KfUsGlbSwljwC5KZXo,https://drive.google.com/drive/folders/1Cg0C5qNDMWst3_KfUsGlbSwljwC5KZXo?usp=drive_link,,10,6-1-26,"39.70617658201468, -75.11073138997521",,
P027,110 N. MAIN ST,110 N MAIN ST,,carmeninsana@comcast.net,7,2,RENTED,,rented,1nrp7feQlcvRCMVDAYAOWlEkmDBXBPOd8,https://drive.google.com/drive/folders/1nrp7feQlcvRCMVDAYAOWlEkmDBXBPOd8?usp=drive_link,,10,Fall 2027,"39.70561883411184, -75.11109231784664",,
P025,101 E. NEW ST,101 E. NEW ST,,rentalkinginfo@gmail.com,8,2,RENTED,,rented,1MS9mcTPJbVA6Oh08advP-g-x7GvXxIST,https://drive.google.com/drive/folders/1MS9mcTPJbVA6Oh08advP-g-x7GvXxIST?usp=drive_link,,8,Fall 2027,"39.70549142816666, -75.10941132883558",,
P031,38 CARPENTER ST,38 CARPENTER ST,New Construction Coming Fall 2027,rentalkinginfo@gmail.com,12,5.5,9900,,New Construction Coming Fall 2027,10skcGxV0vOu56mOMCGA-bgDM4vnIEyf5,,,16,Fall 2027,"39.709692897422386, -75.112355003474",,
P032,42 CARPENTER ST,42 CARPENTER ST,New Construction Coming Fall 2027,rentalkinginfo@gmail.com,12,5.5,9900,,New Construction Coming Fall 2027,1o-CAFAyClQ-HeL1x8O5OpOWitKhWkaZI,,,16,Fall 2027,"39.70976639723768, -75.11254108998077",,
P033,46 CARPENTER ST,46 CARPENTER ST,New Construction Coming Fall 2027,rentalkinginfo@gmail.com,12,5.5,9900,,New Construction Coming Fall 2027,17yxF5axiegs8g5KAfvEehsNZFvl60WWI,,,16,Fall 2027,"39.70995209677113, -75.11270546114521",,
P030,113 SILVER AVE,113 SILVER AVE,,carmeninsana@comcast.net,7,3,6000,,available,1X6BmJP9t4eMY6NRwHfe0rUahLkYOp3Yo,https://drive.google.com/drive/folders/1X6BmJP9t4eMY6NRwHfe0rUahLkYOp3Yo?usp=drive_link,,8,6-1-26,"39.71192504493065, -75.11490934580274",,
P034,MIDWAY RD,MIDWAY RD,New Construction Coming Fall 2027,rentalkinginfo@gmail.com,7,3,5600,,New Construction Coming Fall 2027,1C2LhA1owWwG6A-zuJaYWI35SYgQ8sak2,,,6,Fall 2027,"39.712782884616054, -75.1140499488966",,
xxx,4 SILVER AVE,4 SILVER AVE,,rentalkinginfo@gmail.com,5,3,4500,,available,17j6Q4M1_7MW1Qn6JTgniOcHN_hqEWBRo,https://drive.google.com/drive/folders/17j6Q4M1_7MW1Qn6JTgniOcHN_hqEWBRo?usp=drive_link,,6,6-1-26,"39.71271450112623, -75.11288184688404",,
P020,34 CARPENTER ST,34 CARPENTER ST,,rentalkinginfo@gmail.com,7,2,RENTED,,rented,1EpFrC-RflSSVPwt23czr6fOHWGJ99kcq,https://drive.google.com/drive/folders/1EpFrC-RflSSVPwt23czr6fOHWGJ99kcq?usp=drive_link,,7,7-1-26,"39.70980153043538, -75.11216658813169",,
P023,18 WEST ST,18 WEST ST,,rentalkinginfo@gmail.com,6,3.5,RENTED,,rented,1JDGrHLWSE_1i1Xq6XQxXMFAixbnVlFfH,https://drive.google.com/drive/folders/1JDGrHLWSE_1i1Xq6XQxXMFAixbnVlFfH?usp=drive_link,,8,Fall 2027,"39.70634339856418, -75.10908712001577",,
