id,title,address,city,type,beds,baths,rent,sqft,status,photo_folder_id,photo_urls,map_link,parking,lease_start,lat,lng,primary_photo,
Gold1,1 SILVER AVE,1 SILVER AVE,,rentalkinginfo@gmail.com,17,5,RENTED,,rented,1QVTUs88c41PoudjYPtQK2EuJS5bjkmpr,https://drive.google.com/drive/folders/1QVTUs88c41PoudjYPtQK2EuJS5bjkmpr?usp=drive_link,,17,,"39.71316647164147, -75.11282905179587",,,
Insana1,110 N. MAIN ST,110 N. MAIN ST,,carmeninsana@comcast.net,7,2,RENTED,,rented,1nrp7feQlcvRCMVDAYAOWlEkmDBXBPOd8,https://drive.google.com/drive/folders/1nrp7feQlcvRCMVDAYAOWlEkmDBXBPOd8?usp=drive_link,,10,,"39.70561883411184, -75.11109231784664",,,
Sandcastle1,101 E. NEW ST,101 E. NEW ST,,rentalkinginfo@gmail.com,8,2,RENTED,,rented,1MS9mcTPJbVA6Oh08advP-g-x7GvXxIST,https://drive.google.com/drive/folders/1MS9mcTPJbVA6Oh08advP-g-x7GvXxIST?usp=drive_link,,8,,"39.70549142816666, -75.10941132883558",,,
Gold2,38 CARPENTER ST,38 CARPENTER ST,New Construction Coming Fall 2027,rentalkinginfo@gmail.com,12,5.5,9900,,New Construction Coming Fall 2027,10skcGxV0vOu56mOMCGA-bgDM4vnIEyf5,,,16,Fall 2027,"39.709692897422386, -75.112355003474",,,
Gold3,42 CARPENTER ST,42 CARPENTER ST,New Construction Coming Fall 2027,rentalkinginfo@gmail.com,12,5.5,9900,,New Construction Coming Fall 2027,1o-CAFAyClQ-HeL1x8O5OpOWitKhWkaZI,,,16,Fall 2027,"39.70976639723768, -75.11254108998077",,,
Gold4,46 CARPENTER ST,46 CARPENTER ST,New Construction Coming Fall 2027,rentalkinginfo@gmail.com,12,5.5,9900,,New Construction Coming Fall 2027,17yxF5axiegs8g5KAfvEehsNZFvl60WWI,,,16,Fall 2027,"39.70995209677113, -75.11270546114521",,,
Insana2,127 STATE ST,127 STATE ST,,carmeninsana@comcast.net,7,3,9000,,available,1Cg0C5qNDMWst3_KfUsGlbSwljwC5KZXo,https://drive.google.com/drive/folders/1Cg0C5qNDMWst3_KfUsGlbSwljwC5KZXo?usp=drive_link,,10,6-1-26,"39.70617658201468, -75.11073138997521",,,
Jayna1,303 N LEHIGH RD,303 N LEHIGH RD,,universitycampusliving@gmail.com,9,4,7000,,available,1jEs-H615yOcQLUOM08bw4ANkGEVW2ORZ,,,10,8-1-26,"39.71075473199128, -75.13036775559776",,,
Insana3,113 SILVER AVE,113 SILVER AVE,,carmeninsana@comcast.net,7,3,6000,,available,1X6BmJP9t4eMY6NRwHfe0rUahLkYOp3Yo,https://drive.google.com/drive/folders/1X6BmJP9t4eMY6NRwHfe0rUahLkYOp3Yo?usp=drive_link,,8,6-1-26,"39.71192504493065, -75.11490934580274",,,
Pink1,MIDWAY RD,MIDWAY RD,New Construction Coming Fall 2027,rentalkinginfo@gmail.com,7,3,5600,,New Construction Coming Fall 2027,1C2LhA1owWwG6A-zuJaYWI35SYgQ8sak2,,,6,Fall 2027,"39.712782884616054, -75.1140499488966",,,
Gold5,4 SILVER AVE,4 SILVER AVE,,rentalkinginfo@gmail.com,5,3,RENTED,,rented,17j6Q4M1_7MW1Qn6JTgniOcHN_hqEWBRo,https://drive.google.com/drive/folders/17j6Q4M1_7MW1Qn6JTgniOcHN_hqEWBRo?usp=drive_link,,6,,"39.71271450112623, -75.11288184688404",,,
Gold6,34 CARPENTER ST,34 CARPENTER ST,,rentalkinginfo@gmail.com,7,2,RENTED,,rented,1EpFrC-RflSSVPwt23czr6fOHWGJ99kcq,https://drive.google.com/drive/folders/1EpFrC-RflSSVPwt23czr6fOHWGJ99kcq?usp=drive_link,,7,,"39.70980153043538, -75.11216658813169",,,
Coconut1,18 WEST ST,18 WEST ST,,rentalkinginfo@gmail.com,6,3.5,RENTED,,rented,1JDGrHLWSE_1i1Xq6XQxXMFAixbnVlFfH,https://drive.google.com/drive/folders/1JDGrHLWSE_1i1Xq6XQxXMFAixbnVlFfH?usp=drive_link,,8,,"39.70634339856418, -75.10908712001577",,,
Coconut2,202 CARPENTER ST,202 CARPENTER ST,,rentalkinginfo@gmail.com,6,3,RENTED,,rented,1Ca_Oq3-tqhJVdhROmcBPvsvDSwY8fdtK,https://drive.google.com/drive/folders/1Ca_Oq3-tqhJVdhROmcBPvsvDSwY8fdtK?usp=drive_link,,8,,"39.711414726605724, -75.11436270761872",,,
Gold7,5 SILVER AVE,5 SILVER AVE,,rentalkinginfo@gmail.com,6,2.5,RENTED,,rented,1Y-rfu1EBpvnYoCW2DWiG3O80mnFAOcPX,https://drive.google.com/drive/folders/1Y-rfu1EBpvnYoCW2DWiG3O80mnFAOcPX?usp=drive_link,,8,,"39.71301822484058, -75.11316761425797",,,
Gold8,18 N. ACADEMY ST,18 N. ACADEMY ST,,rentalkinginfo@gmail.com,7,2,3850,,available,1xm0Gl9FH2AdMbWUTOum1wAuGO3ePPN5Q,https://drive.google.com/drive/folders/1xm0Gl9FH2AdMbWUTOum1wAuGO3ePPN5Q?usp=drive_link,,8,7-1-26,"39.70299192010835, -75.10952590779482",,,
Pink2,601 MORRIS AVE,601 MORRIS AVE,,rentalkinginfo@gmail.com,6,3,3750,,available,1SYjXZ0BCIJzm3Wc6Px_n0fZcKZInhL2n,https://drive.google.com/drive/folders/1SYjXZ0BCIJzm3Wc6Px_n0fZcKZInhL2n?usp=drive_link,,6,6-1-26,"39.71606214724719, -75.12007532295955",,,
Sandcastle2,7 NORMAL BLVD,7 NORMAL BLVD,,rentalkinginfo@gmail.com,6,2,3750,,available,1G5MfYkhDiqLwZum4gefZT92uwxMDnFzI,https://drive.google.com/drive/folders/1G5MfYkhDiqLwZum4gefZT92uwxMDnFzI?usp=drive_link,,6,6-1-26,"39.71213998461592, -75.11296150347391",,,
Pink3,311 W. NEW ST,311 W. NEW ST,,rentalkinginfo@gmail.com,6,2,RENTED,,rented,1FDbZKeHo2T7X4rR2-SZjFiRtwNmtegVG,https://drive.google.com/drive/folders/1FDbZKeHo2T7X4rR2-SZjFiRtwNmtegVG?usp=drive_link,,6,,"39.705623233052926, -75.11535276024092",,,
Humbert1,408 SWARTHMORE RD,408 SWARTHMORE RD,,billyho68@verizon.net,6,2,3600,,available,1JldBUsDdzdjP460caUxRod92MCIoypZJ,,,6,6-1-26,"39.70953290782313, -75.12970674580285",,,
MGDR1,313 HAMILTON RD,313 HAMILTON RD,,rentalkinginfo@gmail.com,6,2,3450,,available,13AxFU1_qJFvyS3aKxW19ZCwd8dRpqauL,https://drive.google.com/drive/folders/13AxFU1_qJFvyS3aKxW19ZCwd8dRpqauL?usp=drive_link,,6,8-1-26,"39.71015637064426, -75.12708901241695",,,
Pink3b,309 W. NEW ST,309 W. NEW ST,,rentalkinginfo@gmail.com,5,2.5,RENTED,,rented,1QavagCMjRk2anoVoHGTto-cBshSXGOsY,https://drive.google.com/drive/folders/1QavagCMjRk2anoVoHGTto-cBshSXGOsY?usp=drive_link,,6,,"39.705569581454306, -75.11520792096053",,,
Insana4,113 STATE ST,113 STATE ST,,carmeninsana@comcast.net,5,2.5,RENTED,,rented,18JPFKTxO3ivsnu2AP7Cw47GEMPzsRfRI,https://drive.google.com/drive/folders/18JPFKTxO3ivsnu2AP7Cw47GEMPzsRfRI?usp=drive_link,,6,,"39.70559009861487, -75.11023876535266",,,
Allen1,5 WILSON AVE,5 WILSON AVE,,bradallenjr@verizon.net,5,2,3375,,available,1YUT1EnCAeOYfh3EwBk1_cpZ6AQi1pyGc,,,6,6-1-26,"39.71443570190074, -75.11475353317036",,,
Gold9,109 STATE ST,109 STATE ST,,rentalkinginfo@gmail.com,6,2,RENTED,,rented,19RySpKOINYk3E_m2vePTl0jwUt25s7yN,https://drive.google.com/drive/folders/19RySpKOINYk3E_m2vePTl0jwUt25s7yN?usp=drive_link,,6,,"39.70582158428603, -75.11001504580308",,,
Pink4,410 W. HIGH ST,410 W. HIGH ST,,rentalkinginfo@gmail.com,5,2.5,RENTED,,rented,1iCqQMGic0yrZjeGrHWD7fG6cTzM5Fpfy,https://drive.google.com/drive/folders/1iCqQMGic0yrZjeGrHWD7fG6cTzM5Fpfy?usp=drive_link,,6,,"39.70433007981543, -75.11804624767404",,,
Pink5,306 HAMILTON RD,306 HAMILTON RD,,rentalkinginfo@gmail.com,5,2.5,3250,,available,1WDXe8bmjmU63POz65qspmwU54zklyojj,https://drive.google.com/drive/folders/1WDXe8bmjmU63POz65qspmwU54zklyojj?usp=drive_link,,6,6-1-26,"39.709650839063976, -75.12659548598",,,
Gold10,110 STATE ST,110 STATE ST,,rentalkinginfo@gmail.com,5,2,3250,,available,1tj4msqcbhj9xQ6GUxeU-vtgwdwgE2qzE,https://drive.google.com/drive/folders/1tj4msqcbhj9xQ6GUxeU-vtgwdwgE2qzE?usp=drive_link,,4,6-1-26,"39.705622579370264, -75.10971532285726",,,
Agnes1,12 HOLLY ST,12 HOLLY ST,,bagnes28@gmail.com,5,2,3250,,available,1xg909ReIJwF9OSTDt6y6IG-Kr36Q7LAh,,,5,6-1-26,"39.703785988805755, -75.11765976114543",,,
Agnes 2,321 W HIGH ST,321 W HIGH ST,,bagnes28@gmail.com,5,2.5,3250,,available,1073yZZ7ODzKeQeuVCSEVO3tq2wsA4pvK,,,5,6-1-26,"39.704253088582085, -75.11661586114543",,,
Hildebrant1,8 SHERWOOD LN,8 SHERWOOD LN,,hildebrand386@gmail.com,5,2,3250,,available,1LPk8CcoHwDmShyAIvHtKh-C20XEtc5sF,,,5,6-1-26,"39.718248276719265, -75.12052664580243",,,
McFadden1,613 WHITMAN RD,613 WHITMAN RD,,rental.glassboro@gmail.com,5,2.5,RENTED,,rented,1be8TsVEnSpl60jO2pD8yQAhgcadQqtkU,,,5,,"39.71570179465731, -75.11752240347371",,,
Mcfadden2,115 SILVER AVE,115 SILVER AVE,,rental.glassboro@gmail.com,5,2,RENTED,,rented,1ey8y6bW3DMqx92jHxtwCVRQNcGHsp_6t,,,6,,"39.71169187156161, -75.11509275929605",,,11-18-25
Mcfadden3,339 OAKWOOD AVE,339 OAKWOOD AVE,,rental.glassboro@gmail.com,5,2,3250,,available,1V8duWNp9fEbyIybLkfO163EB79wtEEux,,,5,6-1-26,"39.70443749696511, -75.11961061881657",,,
Pink6,121 STATE ST,121 STATE ST,,rentalkinginfo@gmail.com,5,2,RENTED,,rented,1IxexLQeRFR7O82pQh0_HVKy3kSSQVv6i,https://drive.google.com/drive/folders/1IxexLQeRFR7O82pQh0_HVKy3kSSQVv6i?usp=drive_link,,6,,"39.705793944356614, -75.1103639653526",,,
Pink7,614 HESTON RD,614 HESTON RD,,rentalkinginfo@gmail.com,5,2,RENTED,,rented,1dj0H2wzZSrQmxPhoE2xGEupTmQIDzWhw,https://drive.google.com/drive/folders/1dj0H2wzZSrQmxPhoE2xGEupTmQIDzWhw?usp=drive_link,,5,,"39.716816933175636, -75.11896837797772",,,
Pink8,146 E. HIGH ST,146 E. HIGH ST,,rentalkinginfo@gmail.com,6,2,3000,,available,1kNefDBSEYzVSAO2JAAwgMvsi4S8jVqlk,https://drive.google.com/drive/folders/1kNefDBSEYzVSAO2JAAwgMvsi4S8jVqlk?usp=drive_link,,6,7-1-26,"39.701394674486735, -75.10694294050253",,,
